init done.
GetBestSellerModelByType: FAILURE
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: SUCCESS
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: FAILURE
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
AddCarType: SUCCESS
